type_of_work,building_function_code,original_date_factor,floor_area,main_construction,storeys,original_location_factor,contract_contract_sum,cost_increment,cost_rebased
3,448.0,135,1382,2,1,103.0,941.027496382055,2.02,2841.9
3,421.0,135,261,1,2,110.0,1068.6091954022988,2.02,3227.2
1,448.0,134,1413,1,1,103.0,809.6652512384996,2.04,2461.38
1,810.13,128,815,1,1,93.0,513.9570552147239,2.19,1639.52
1,712.0,138,418,2,1,103.0,889.055023923445,1.96,2631.6
1,418.1,134,1418,3,2,90.0,1336.058533145275,2.04,4061.62
1,412.8,131,15319,3,2,100.0,932.1389777400614,2.11,2898.95
1,630.0,134,606,1,1,96.0,727.3960396039604,2.04,2211.28
1,640.0,138,390,1,1,93.0,671.7948717948718,1.96,1988.51
1,448.0,134,409,2,1,97.0,683.6185819070905,2.04,2078.2
1,810.1,134,871,1,1,102.0,483.85878300803677,2.04,1470.93
1,630.0,135,382,1,1,99.0,659.6465968586388,2.02,1992.13
1,534.0,135,605,2,1,102.0,811.201652892562,2.02,2449.83
3,712.0,135,319,1,1,119.0,2089.448275862069,2.02,6310.13
3,756.0,134,630,3,1,91.0,1154.7301587301588,2.04,3510.38
1,284.0,131,2138,2,1,100.0,303.32086061739943,2.11,943.33
1,810.13,126,1433,1,1,93.0,566.1235170969993,2.24,1834.24
1,843.0,131,2481,1,1,104.0,552.8879484079,2.11,1719.48
3,712.0,126,750,1,1,89.0,1064.5786666666668,2.24,3449.23
1,447.0,131,1537,1,1,126.0,1108.996096291477,2.11,3448.98
1,277.3,131,4580,2,1,100.0,286.8930131004367,2.11,892.24
1,843.0,117,4460,1,2,93.0,442.3291479820628,2.49,1543.73
1,416.2,134,5251,1,1,55.0,653.9335364692439,2.04,1987.96
1,282.12,134,4644,2,1,91.0,210.5394056847545,2.04,640.04
1,345.0,134,148,1,1,90.0,957.418918918919,2.04,2910.55
1,712.0,134,1507,1,1,99.0,935.2873258128733,2.04,2843.27
1,810.1,138,273,1,1,93.0,611.9487179487179,1.96,1811.37
3,763.0,134,417,2,1,111.0,1013.916067146283,2.04,3082.3
1,941.1,128,52,1,1,90.0,1198.7307692307693,2.19,3823.95
1,320.0,134,2432,2,2,100.0,1566.6118421052631,2.04,4762.5
1,320.0,134,1756,2,2,100.0,2169.7038724373574,2.04,6595.9
1,320.0,134,1534,2,2,100.0,2483.702737940026,2.04,7550.46
1,374.0,128,1172,1,1,99.0,899.2320819112628,2.19,2868.55
1,762.0,134,683,2,1,107.0,1167.8579795021963,2.04,3550.29
1,856.8,135,477,1,1,99.0,1521.1509433962265,2.02,4593.88
1,843.0,135,1291,1,1,92.0,632.4523625096824,2.02,1910.01
1,562.11,134,3080,2,1,111.0,970.8295454545455,2.04,2951.32
1,762.0,131,186,1,1,103.0,1116.8548387096773,2.11,3473.42
1,282.1,131,1998,2,1,97.0,391.504004004004,2.11,1217.58
1,534.0,135,477,1,1,103.0,699.874213836478,2.02,2113.62
1,816.0,135,1282,1,4,93.0,528.7020280811232,2.02,1596.68
1,517.0,135,471,2,1,95.0,910.7791932059448,2.02,2750.55
1,856.1,138,244,1,2,100.0,1226.4877049180327,1.96,3630.4
1,816.0,135,316,1,2,103.0,591.7721518987341,2.02,1787.15
1,320.0,131,10400,2,2,96.0,1134.2120192307693,2.11,3527.4
1,562.12,135,945,1,1,99.0,2139.732275132275,2.02,6461.99
1,282.12,135,1014,2,1,93.0,804.3668639053254,2.02,2429.19
3,713.1,121,406,2,1,99.0,1268.1847290640394,2.37,4273.78
3,713.0,121,528,2,1,99.0,975.157196969697,2.37,3286.28
3,713.0,121,1114,1,1,99.0,499.90305206463194,2.37,1684.67
1,810.1,134,1322,1,1,103.0,638.0416036308624,2.04,1939.65
1,713.0,131,1360,2,1,98.0,713.5691176470589,2.11,2219.2
1,712.0,131,1190,1,1,95.0,939.8890756302521,2.11,2923.06
3,712.0,134,446,1,1,99.0,901.932735426009,2.04,2741.88
1,712.0,134,1099,1,1,99.0,845.3848953594177,2.04,2569.97
1,425.0,134,750,1,2,92.0,785.7333333333333,2.04,2388.63
1,282.1,131,504,2,1,103.0,860.1190476190476,2.11,2674.97
1,320.0,131,319,1,1,103.0,1319.7492163009404,2.11,4104.42
1,722.2,134,676,1,1,99.0,1263.8431952662722,2.04,3842.08
3,712.0,126,317,2,1,90.0,833.9968454258675,2.24,2702.15
1,444.0,126,354,1,1,100.0,669.1016949152543,2.24,2167.89
3,562.1,131,1568,2,1,97.0,747.8265306122449,2.11,2325.74
1,373.0,123,305,1,1,97.0,734.4262295081967,2.32,2438.3
1,320.1,134,570,1,3,106.0,1066.3929824561403,2.04,3241.83
1,713.1,126,1637,2,2,98.0,955.2449602932193,2.24,3094.99
1,816.0,126,372,1,1,107.0,778.8494623655914,2.24,2523.47
1,711.0,123,139,1,1,103.0,1429.4388489208634,2.32,4745.74
1,816.0,134,1841,1,1,91.0,467.2677892449756,2.04,1420.49
1,421.0,135,940,1,1,111.0,654.2159574468085,2.02,1975.73
1,282.12,126,3491,2,1,96.0,294.0804926955027,2.24,952.82
1,532.0,134,224,1,1,99.0,3814.098214285714,2.04,11594.86
3,413.0,138,287,1,1,107.0,1610.0104529616724,1.96,4765.63
1,421.0,126,341,1,1,102.0,744.7126099706745,2.24,2412.87
1,562.12,126,846,1,1,107.0,697.2458628841607,2.24,2259.08
3,374.0,123,276,1,1,97.0,1005.9130434782609,2.32,3339.63
1,282.1,131,3119,2,1,93.0,318.5806348188522,2.11,990.79
1,818.0,131,1770,1,1,93.0,486.25254237288135,2.11,1512.25
3,713.0,123,4350,2,1,55.0,700.851724137931,2.32,2326.83
1,816.0,123,351,1,3,97.0,655.2706552706553,2.32,2175.5
4,568.13,131,385,2,1,90.0,938.7844155844156,2.11,2919.62
1,810.1,123,915,1,2,107.0,511.73224043715845,2.32,1698.95
3,722.2,128,833,2,1,126.0,3469.8031212484993,2.19,11068.67
1,630.0,123,804,2,1,91.0,733.0335820895523,2.32,2433.67
1,320.0,123,1323,2,1,100.0,409.21844293272864,2.32,1358.61
1,810.1,123,227,1,1,93.0,791.6167400881058,2.32,2628.17
1,727.0,117,680,2,1,85.0,421.0926470588235,2.49,1469.61
1,810.1,123,530,1,1,99.0,603.3207547169811,2.32,2003.02
1,712.0,123,1830,2,1,55.0,480.34644808743167,2.32,1594.75
1,712.0,117,1200,1,1,91.0,734.7008333333333,2.49,2564.11
1,810.1,117,533,1,1,99.0,574.6022514071294,2.49,2005.36
3,414.4,117,870,1,1,97.0,726.8252873563218,2.49,2536.62
1,320.1,117,1060,1,1,126.0,966.1924528301887,2.49,3372.01
1,562.11,154,4877,2,1,106.0,1630.9598113594423,1.65,4322.04
1,320.0,158,2515,1,3,97.0,860.9952286282306,1.58,2221.37
1,320.0,158,2033,1,3,97.0,974.4176094441711,1.58,2514.0
1,418.1,146,1100,2,1,102.0,1250.480909090909,1.79,3488.84
1,810.1,170,2481,4,1,93.0,684.9302700523982,1.4,1643.83
1,714.0,162,1371,2,1,119.0,937.3501094091904,1.52,2362.12
1,714.0,170,1564,2,2,100.0,630.5498721227622,1.4,1513.32
1,320.1,158,764,1,1,103.0,756.9450261780105,1.58,1952.92
1,562.11,148,10375,2,1,96.0,1164.3665542168674,1.76,3213.65
3,568.11,158,182,1,1,97.0,1282.532967032967,1.58,3308.94
1,563.2,154,3156,2,1,101.0,489.40304182509504,1.65,1296.92
1,562.41,147,2850,2,1,97.0,798.2245614035088,1.78,2219.06
1,546.1,154,988,2,1,99.0,1587.98987854251,1.65,4208.17
1,562.11,158,5286,2,1,96.0,1111.6293984108968,1.58,2868.0
1,810.1,158,1335,1,2,90.0,672.4022471910113,1.58,1734.8
1,712.0,149,532,1,1,101.0,927.9436090225564,1.74,2542.57
1,372.6,149,318,1,1,101.0,927.6572327044025,1.74,2541.78
1,712.0,158,1421,1,1,102.0,825.2758620689655,1.58,2129.21
1,127.4,158,533,2,1,126.0,16274.022514071294,1.58,41986.98
1,713.1,162,721,1,1,119.0,939.8016643550624,1.52,2368.3
