type_of_work,building_function_code,original_date_factor,floor_area,main_construction,storeys,original_location_factor,contract_contract_sum,cost_increment,cost_rebased
3,448.0,135,1382.0,2,1.0,103.0,941.027496382055,2.02,2841.9
3,421.0,135,261.0,1,2.0,110.0,1068.6091954022988,2.02,3227.2
1,448.0,134,1413.0,1,1.0,103.0,809.6652512384996,2.04,2461.38
1,810.13,128,815.0,1,1.0,93.0,513.9570552147239,2.19,1639.52
1,712.0,138,418.0,2,1.0,103.0,889.055023923445,1.96,2631.6
1,418.1,134,1418.0,3,2.0,90.0,1336.058533145275,2.04,4061.62
1,412.8,131,15319.0,3,2.0,100.0,932.1389777400614,2.11,2898.95
1,630.0,134,606.0,1,1.0,96.0,727.3960396039604,2.04,2211.28
1,640.0,138,390.0,1,1.0,93.0,671.7948717948718,1.96,1988.51
1,448.0,134,409.0,2,1.0,97.0,683.6185819070905,2.04,2078.2
1,810.1,134,871.0,1,1.0,102.0,483.8587830080368,2.04,1470.93
1,630.0,135,382.0,1,1.0,99.0,659.6465968586388,2.02,1992.13
1,534.0,135,605.0,2,1.0,102.0,811.201652892562,2.02,2449.83
3,712.0,135,319.0,1,1.0,119.0,2089.448275862069,2.02,6310.13
3,756.0,134,630.0,3,1.0,91.0,1154.7301587301588,2.04,3510.38
1,284.0,131,2138.0,2,1.0,100.0,303.32086061739943,2.11,943.33
1,810.13,126,1433.0,1,1.0,93.0,566.1235170969993,2.24,1834.24
1,843.0,131,2481.0,1,1.0,104.0,552.8879484079,2.11,1719.48
3,712.0,126,750.0,1,1.0,89.0,1064.5786666666668,2.24,3449.23
1,447.0,131,1537.0,1,1.0,126.0,1108.996096291477,2.11,3448.98
1,277.3,131,4580.0,2,1.0,100.0,286.8930131004367,2.11,892.24
1,843.0,117,4460.0,1,2.0,93.0,442.3291479820628,2.49,1543.73
1,416.2,134,5251.0,1,1.0,55.0,653.9335364692439,2.04,1987.96
1,282.12,134,4644.0,2,1.0,91.0,210.5394056847545,2.04,640.04
1,345.0,134,148.0,1,1.0,90.0,957.418918918919,2.04,2910.55
1,712.0,134,1507.0,1,1.0,99.0,935.2873258128732,2.04,2843.27
1,810.1,138,273.0,1,1.0,93.0,611.9487179487179,1.96,1811.37
3,763.0,134,417.0,2,1.0,111.0,1013.916067146283,2.04,3082.3
1,941.1,128,52.0,1,1.0,90.0,1198.7307692307693,2.19,3823.95
1,320.0,134,2432.0,2,2.0,100.0,1566.6118421052631,2.04,4762.5
1,320.0,134,1756.0,2,2.0,100.0,2169.7038724373574,2.04,6595.9
1,320.0,134,1534.0,2,2.0,100.0,2483.702737940026,2.04,7550.46
1,374.0,128,1172.0,1,1.0,99.0,899.2320819112628,2.19,2868.55
1,762.0,134,683.0,2,1.0,107.0,1167.8579795021965,2.04,3550.29
1,856.8,135,477.0,1,1.0,99.0,1521.1509433962265,2.02,4593.88
1,843.0,135,1291.0,1,1.0,92.0,632.4523625096824,2.02,1910.01
1,562.11,134,3080.0,2,1.0,111.0,970.8295454545456,2.04,2951.32
1,762.0,131,186.0,1,1.0,103.0,1116.854838709677,2.11,3473.42
1,282.1,131,1998.0,2,1.0,97.0,391.504004004004,2.11,1217.58
1,534.0,135,477.0,1,1.0,103.0,699.874213836478,2.02,2113.62
1,816.0,135,1282.0,1,4.0,93.0,528.7020280811232,2.02,1596.68
1,517.0,135,471.0,2,1.0,95.0,910.7791932059448,2.02,2750.55
1,856.1,138,244.0,1,2.0,100.0,1226.4877049180327,1.96,3630.4
1,816.0,135,316.0,1,2.0,103.0,591.7721518987341,2.02,1787.15
1,320.0,131,10400.0,2,2.0,96.0,1134.212019230769,2.11,3527.4
1,562.12,135,945.0,1,1.0,99.0,2139.732275132275,2.02,6461.99
1,282.12,135,1014.0,2,1.0,93.0,804.3668639053254,2.02,2429.19
3,713.1,121,406.0,2,1.0,99.0,1268.1847290640394,2.37,4273.78
3,713.0,121,528.0,2,1.0,99.0,975.157196969697,2.37,3286.28
3,713.0,121,1114.0,1,1.0,99.0,499.903052064632,2.37,1684.67
1,810.1,134,1322.0,1,1.0,103.0,638.0416036308624,2.04,1939.65
1,713.0,131,1360.0,2,1.0,98.0,713.5691176470589,2.11,2219.2
1,712.0,131,1190.0,1,1.0,95.0,939.889075630252,2.11,2923.06
3,712.0,134,446.0,1,1.0,99.0,901.932735426009,2.04,2741.88
1,712.0,134,1099.0,1,1.0,99.0,845.3848953594177,2.04,2569.97
1,425.0,134,750.0,1,2.0,92.0,785.7333333333333,2.04,2388.63
1,282.1,131,504.0,2,1.0,103.0,860.1190476190476,2.11,2674.97
1,320.0,131,319.0,1,1.0,103.0,1319.7492163009404,2.11,4104.42
1,722.2,134,676.0,1,1.0,99.0,1263.8431952662722,2.04,3842.08
3,712.0,126,317.0,2,1.0,90.0,833.9968454258675,2.24,2702.15
1,444.0,126,354.0,1,1.0,100.0,669.1016949152543,2.24,2167.89
3,562.1,131,1568.0,2,1.0,97.0,747.8265306122449,2.11,2325.74
1,373.0,123,305.0,1,1.0,97.0,734.4262295081967,2.32,2438.3
1,320.1,134,570.0,1,3.0,106.0,1066.3929824561403,2.04,3241.83
1,713.1,126,1637.0,2,2.0,98.0,955.2449602932192,2.24,3094.99
1,816.0,126,372.0,1,1.0,107.0,778.8494623655914,2.24,2523.47
1,711.0,123,139.0,1,1.0,103.0,1429.4388489208634,2.32,4745.74
1,816.0,134,1841.0,1,1.0,91.0,467.2677892449756,2.04,1420.49
1,421.0,135,940.0,1,1.0,111.0,654.2159574468085,2.02,1975.73
1,282.12,126,3491.0,2,1.0,96.0,294.0804926955027,2.24,952.82
1,532.0,134,224.0,1,1.0,99.0,3814.098214285714,2.04,11594.86
3,413.0,138,287.0,1,1.0,107.0,1610.0104529616724,1.96,4765.63
1,421.0,126,341.0,1,1.0,102.0,744.7126099706745,2.24,2412.87
1,562.12,126,846.0,1,1.0,107.0,697.2458628841607,2.24,2259.08
3,374.0,123,276.0,1,1.0,97.0,1005.9130434782608,2.32,3339.63
1,282.1,131,3119.0,2,1.0,93.0,318.5806348188522,2.11,990.79
1,818.0,131,1770.0,1,1.0,93.0,486.25254237288135,2.11,1512.25
3,713.0,123,4350.0,2,1.0,55.0,700.851724137931,2.32,2326.83
1,816.0,123,351.0,1,3.0,97.0,655.2706552706553,2.32,2175.5
4,568.13,131,385.0,2,1.0,90.0,938.7844155844156,2.11,2919.62
1,810.1,123,915.0,1,2.0,107.0,511.73224043715845,2.32,1698.95
3,722.2,128,833.0,2,1.0,126.0,3469.8031212485,2.19,11068.67
1,630.0,123,804.0,2,1.0,91.0,733.0335820895523,2.32,2433.67
1,320.0,123,1323.0,2,1.0,100.0,409.21844293272864,2.32,1358.61
1,810.1,123,227.0,1,1.0,93.0,791.6167400881058,2.32,2628.17
1,727.0,117,680.0,2,1.0,85.0,421.0926470588235,2.49,1469.61
1,810.1,123,530.0,1,1.0,99.0,603.3207547169811,2.32,2003.02
1,712.0,123,1830.0,2,1.0,55.0,480.34644808743167,2.32,1594.75
1,712.0,117,1200.0,1,1.0,91.0,734.7008333333333,2.49,2564.11
1,810.1,117,533.0,1,1.0,99.0,574.6022514071294,2.49,2005.36
3,414.4,117,870.0,1,1.0,97.0,726.8252873563218,2.49,2536.62
1,320.1,117,1060.0,1,1.0,126.0,966.1924528301888,2.49,3372.01
1,562.11,154,4877.0,2,1.0,106.0,1630.9598113594425,1.65,4322.04
1,320.0,158,2515.0,1,3.0,97.0,860.9952286282306,1.58,2221.37
1,320.0,158,2033.0,1,3.0,97.0,974.4176094441711,1.58,2514.0
1,418.1,146,1100.0,2,1.0,102.0,1250.480909090909,1.79,3488.84
1,810.1,170,2481.0,4,1.0,93.0,684.9302700523982,1.4,1643.83
1,714.0,162,1371.0,2,1.0,119.0,937.3501094091904,1.52,2362.12
1,714.0,170,1564.0,2,2.0,100.0,630.5498721227622,1.4,1513.32
1,320.1,158,764.0,1,1.0,103.0,756.9450261780105,1.58,1952.92
1,562.11,148,10375.0,2,1.0,96.0,1164.3665542168674,1.76,3213.65
3,568.11,158,182.0,1,1.0,97.0,1282.532967032967,1.58,3308.94
1,563.2,154,3156.0,2,1.0,101.0,489.40304182509504,1.65,1296.92
1,562.41,147,2850.0,2,1.0,97.0,798.2245614035088,1.78,2219.06
1,546.1,154,988.0,2,1.0,99.0,1587.98987854251,1.65,4208.17
1,562.11,158,5286.0,2,1.0,96.0,1111.6293984108968,1.58,2868.0
1,810.1,158,1335.0,1,2.0,90.0,672.4022471910113,1.58,1734.8
1,712.0,149,532.0,1,1.0,101.0,927.9436090225564,1.74,2542.57
1,372.6,149,318.0,1,1.0,101.0,927.6572327044024,1.74,2541.78
1,712.0,158,1421.0,1,1.0,102.0,825.2758620689655,1.58,2129.21
1,127.4,158,533.0,2,1.0,126.0,16274.022514071294,1.58,41986.98
1,713.1,162,721.0,1,1.0,119.0,939.8016643550624,1.52,2368.3
1,532.0,162,343.0,1,1.0,111.0,1392.5510204081634,1.52,3509.23
1,562.1,158,1674.0,2,1.0,90.0,668.5322580645161,1.58,1724.81
1,562.1,152,1815.0,2,1.0,115.0,809.7592286501377,1.68,2170.15
1,541.2,147,2301.0,3,1.0,97.0,1940.0465015210775,1.78,5393.33
1,564.1,158,385.0,2,1.0,91.0,753.2467532467532,1.58,1943.38
3,532.1,170,104.0,1,1.0,97.0,1441.7403846153843,1.4,3460.18
1,568.12,152,361.0,1,1.0,126.0,1792.5373961218836,1.68,4804.0
1,562.32,146,2930.0,2,1.0,90.0,350.51194539249144,1.79,977.93
3,670.1,170,96.0,1,1.0,114.0,9168.114583333334,1.4,22003.48
3,712.0,152,132.0,1,1.0,103.0,848.4469696969697,1.68,2273.84
3,712.1,158,71.0,2,1.0,103.0,1217.56338028169,1.58,3141.31
1,712.0,167,1795.0,1,1.0,103.0,1262.1359331476324,1.44,3079.61
3,712.0,171,448.0,2,1.0,103.0,1550.904017857143,1.39,3706.66
1,282.2,158,1112.0,2,1.0,100.0,580.3327338129496,1.58,1497.26
3,712.0,162,268.0,1,1.0,99.0,996.0223880597016,1.52,2509.98
1,713.0,162,580.0,1,1.0,99.0,601.6689655172414,1.52,1516.21
3,413.2,158,148.0,1,1.0,92.0,1334.8175675675675,1.58,3443.83
1,713.0,162,915.0,1,1.0,99.0,527.8688524590164,1.52,1330.23
1,712.0,167,1298.0,1,1.0,102.0,989.2526964560864,1.44,2413.78
1,568.12,162,1236.0,2,1.0,90.0,1020.0849514563108,1.52,2570.61
1,562.1,146,3201.0,2,1.0,126.0,1037.5151515151515,1.79,2894.67
3,562.12,162,1933.0,2,1.0,99.0,1028.1365752715983,1.52,2590.9
3,562.2,158,636.0,2,2.0,96.0,2716.9182389937105,1.58,7009.65
1,562.1,146,2797.0,2,1.0,103.0,398.6757239899893,1.79,1112.31
3,713.8,162,3207.0,2,1.0,109.0,911.6797630183972,1.52,2297.43
1,136.0,170,357.0,2,1.0,89.0,1348.7394957983192,1.4,3236.97
1,717.3,171,2882.0,2,1.0,98.0,1116.592297015961,1.39,2668.66
3,722.2,171,350.0,2,1.0,100.0,1332.0314285714285,1.39,3183.56
1,712.0,171,1820.0,2,1.0,93.0,1474.946153846154,1.39,3525.12
1,712.0,162,2355.0,1,1.0,90.0,902.032271762208,1.52,2273.12
1,562.1,158,3195.0,2,1.0,100.0,809.5220657276996,1.58,2088.57
1,568.12,146,354.0,2,1.0,99.0,1019.9858757062146,1.79,2845.76
1,810.1,162,916.0,1,1.0,92.0,830.5076419213974,1.52,2092.88
3,412.0,170,2143.0,1,2.0,111.0,1469.4209052729818,1.4,3526.61
1,320.0,162,1384.0,2,2.0,97.0,905.846098265896,1.52,2282.73
1,712.0,167,64.0,1,1.0,103.0,1404.1875,1.44,3426.22
1,712.0,170,122.0,1,1.0,103.0,1285.7622950819673,1.4,3085.83
1,713.0,170,356.0,1,1.0,103.0,1086.558988764045,1.4,2607.74
1,722.2,158,215.0,1,1.0,100.0,1601.0232558139537,1.58,4130.64
1,562.1,146,1579.0,2,1.0,109.0,1055.5674477517416,1.79,2945.03
1,562.1,162,3719.0,2,1.0,99.0,841.4460876579726,1.52,2120.44
1,562.1,170,2550.0,2,1.0,101.0,631.4215686274509,1.4,1515.41
3,562.11,167,2304.0,2,1.0,102.0,969.1844618055557,1.44,2364.81
1,446.0,167,457.0,1,1.0,90.0,1096.7899343544857,1.44,2676.17
1,320.0,152,10639.0,2,3.0,110.0,1403.6505310649495,1.68,3761.78
1,712.0,162,1297.0,2,1.0,102.0,920.4009252120278,1.52,2319.41
1,320.0,154,5862.0,1,2.0,102.0,869.1125895598772,1.65,2303.15
1,320.0,162,6764.0,2,5.0,110.0,1507.793317563572,1.52,3799.64
1,284.1,167,8621.0,2,1.0,102.0,380.6575803271082,1.44,928.8
1,532.2,158,144.0,1,1.0,98.0,1874.0208333333333,1.58,4834.97
1,417.88,162,1771.0,2,2.0,90.0,727.3574251835122,1.52,1832.94
1,414.8,167,487.0,2,1.0,126.0,1794.9199178644765,1.44,4379.6
4,282.1,171,3904.0,2,1.0,93.0,252.26818647540983,1.39,602.92
1,562.12,170,800.0,2,1.0,98.0,811.3825,1.4,1947.32
3,712.0,170,64.0,2,1.0,103.0,1769.265625,1.4,4246.24
1,712.0,171,85.0,1,1.0,103.0,1490.6588235294118,1.39,3562.67
1,712.0,171,66.0,1,1.0,103.0,1629.8030303030305,1.39,3895.23
3,712.0,171,126.0,1,1.0,103.0,1526.84126984127,1.39,3649.15
1,562.1,147,2550.0,2,1.0,111.0,943.2717647058824,1.78,2622.3
1,713.0,167,640.0,2,2.0,100.0,859.1359375,1.44,2096.29
3,712.0,170,216.0,1,1.0,103.0,1712.4398148148148,1.4,4109.86
1,562.11,162,6628.0,2,1.0,109.0,1655.96031985516,1.52,4173.02
3,532.0,170,41.0,1,1.0,109.0,4813.024390243902,1.4,11551.26
3,282.22,167,2108.0,2,1.0,95.0,1335.3889943074005,1.44,3258.35
1,345.1,171,1855.0,2,1.0,119.0,1198.4479784366576,1.39,2864.29
1,810.1,170,322.0,1,2.0,97.0,1659.1987577639752,1.4,3982.08
1,810.1,170,398.0,1,1.0,97.0,1342.3668341708542,1.4,3221.68
1,127.31,158,725.0,2,1.0,119.0,903.6317241379312,1.58,2331.37
1,713.1,171,1041.0,2,1.0,119.0,1595.0672430355428,1.39,3812.21
1,713.0,177,632.0,2,2.0,99.0,1183.610759493671,1.31,2734.14
1,711.0,177,250.0,2,1.0,101.0,1654.848,1.31,3822.7
1,320.0,170,473.0,2,2.0,92.0,1119.4270613107822,1.4,2686.62
1,562.12,171,826.0,2,1.0,114.0,1013.136803874092,1.39,2421.4
1,712.0,171,665.0,4,1.0,97.0,1180.451127819549,1.39,2821.28
3,712.0,177,229.0,1,1.0,99.0,1163.406113537118,1.31,2687.47
1,810.1,167,360.0,1,2.0,97.0,652.8611111111111,1.44,1592.98
1,712.0,177,1400.0,1,1.0,107.0,1165.037142857143,1.31,2691.24
4,517.0,170,167.0,2,1.0,96.0,2825.868263473054,1.4,6782.08
1,712.0,177,1661.0,2,1.0,55.0,991.6363636363636,1.31,2290.68
1,372.0,177,1383.0,2,1.0,93.0,2026.8626174981923,1.31,4682.05
1,372.0,177,69.0,2,1.0,93.0,1023.608695652174,1.31,2364.54
3,711.0,171,442.0,2,1.0,92.0,1603.8235294117646,1.39,3833.14
3,712.0,170,1019.0,2,1.0,99.0,1087.5515210991168,1.4,2610.12
1,282.1,177,750.0,2,1.0,97.0,547.3653333333333,1.31,1264.41
1,274.0,177,744.0,2,1.0,85.0,760.4381720430108,1.31,1756.61
1,712.1,171,304.0,2,1.0,100.0,937.3815789473684,1.39,2240.34
1,712.12,162,340.0,2,1.0,98.0,6600.0,1.52,16632.0
1,284.1,170,4182.0,2,1.0,98.0,357.66331898613106,1.4,858.39
1,320.0,170,48101.0,2,4.0,106.0,1207.781439055321,1.4,2898.68
1,320.0,152,1552.0,1,2.0,106.0,1019.4813144329896,1.68,2732.21
1,712.0,177,1567.0,1,1.0,97.0,1231.4582003828973,1.31,2844.67
4,127.4,167,1560.0,2,1.0,97.0,323.5467948717949,1.44,789.45
3,712.0,167,1050.0,2,1.0,93.0,802.2114285714285,1.44,1957.4
3,712.0,167,503.0,2,1.0,93.0,1042.5546719681909,1.44,2543.83
3,856.2,177,406.0,1,2.0,93.0,1391.4778325123152,1.31,3214.31
1,713.1,177,401.0,1,1.0,97.0,1248.4039900249377,1.31,2883.81
1,320.0,167,6885.0,2,3.0,106.0,1046.176615831518,1.44,2552.67
1,320.0,158,5687.0,3,2.0,106.0,917.3798136099877,1.58,2366.84
1,320.0,158,1685.0,2,2.0,106.0,2735.3626112759644,1.58,7057.24
1,320.0,158,1376.0,2,2.0,106.0,3349.626453488372,1.58,8642.04
1,320.0,158,1835.0,2,2.0,106.0,2511.76348773842,1.58,6480.35
1,320.0,149,1905.0,1,2.0,106.0,728.2734908136483,1.74,1995.47
1,562.32,147,1766.0,2,1.0,110.0,527.7955832389581,1.78,1467.27
1,562.11,177,1711.0,3,1.0,100.0,1688.5026300409118,1.31,3900.44
1,320.0,158,9056.0,2,4.0,99.0,1170.963780918728,1.58,3021.09
1,320.0,162,6384.0,2,2.0,99.0,1071.0581140350878,1.52,2699.07
3,417.73,177,274.0,2,1.0,93.0,1780.2445255474452,1.31,4112.36
1,282.12,171,3352.0,2,1.0,106.0,853.5721957040573,1.39,2040.04
1,712.0,177,297.0,1,1.0,103.0,1440.1851851851852,1.31,3326.83
1,712.0,177,74.0,2,1.0,103.0,1631.7432432432431,1.31,3769.33
3,712.0,177,286.0,1,1.0,102.0,1656.0034965034963,1.31,3825.37
1,541.2,177,3927.0,2,1.0,100.0,1653.0982938629998,1.31,3818.66
1,721.8,177,1698.0,2,3.0,119.0,1227.683156654888,1.31,2835.95
3,712.0,170,261.0,2,1.0,103.0,1245.7854406130268,1.4,2989.89
1,712.0,182,137.0,2,1.0,103.0,2128.970802919708,1.24,4768.89
3,711.0,167,287.0,1,1.0,91.0,905.9233449477352,1.44,2210.45
1,320.0,177,2213.0,2,1.0,103.0,790.7817442385901,1.31,1826.71
1,284.2,170,27254.0,2,1.0,106.0,554.1961913847508,1.4,1330.07
1,713.0,177,2337.0,2,2.0,91.0,726.6700898587933,1.31,1678.61
1,713.1,171,900.0,2,1.0,98.0,872.8844444444444,1.39,2086.19
1,273.0,152,6705.0,2,1.0,97.0,690.4183445190157,1.68,1850.32
3,712.1,171,1444.0,2,1.0,98.0,942.3919667590028,1.39,2252.32
2,712.1,171,896.0,2,1.0,98.0,1518.765625,1.39,3629.85
1,717.2,177,151.0,1,1.0,98.0,1424.9668874172185,1.31,3291.67
1,282.22,170,660.0,2,1.0,99.0,606.8075757575757,1.4,1456.34
